City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
153,Puntarenas,CR,9.9763,-84.8384,80.53,73,56,5.03,broken clouds
154,Pandan,PH,14.0453,124.1694,78.71,85,54,15.64,moderate rain
155,Ponta Do Sol,PT,32.6667,-17.1,65.03,81,10,12.68,clear sky
156,Springville,US,40.1652,-111.6107,35.69,62,0,23.02,clear sky
157,Katsuura,JP,35.1333,140.3,46.51,47,91,7.45,overcast clouds
158,Flin Flon,CA,54.7682,-101.865,4.78,93,100,15.55,light snow
159,Joshimath,IN,30.5667,79.5667,36.55,45,43,6.15,scattered clouds
160,Oxford,GB,51.7522,-1.256,46.9,89,100,1.99,overcast clouds
161,Barahona,DO,18.2085,-71.1008,74.26,83,81,2.8,broken clouds
162,Sabang,ID,5.8933,95.3214,82.02,73,100,12.59,overcast clouds
163,Barrow,US,71.2906,-156.7887,-14.78,84,100,3.44,overcast clouds
164,Ucluelet,CA,48.9329,-125.5528,37.09,87,6,10.89,clear sky
165,Grindavik,IS,63.8424,-22.4338,32.47,80,100,27.63,overcast clouds
166,Sao Joao Da Barra,BR,-21.6403,-41.0511,76.28,90,100,9.53,overcast clouds
167,Benguela,AO,-12.5763,13.4055,74.32,79,100,3.27,overcast clouds
168,Borger,NL,52.9233,6.7931,39.85,89,99,11.12,overcast clouds
169,Ola,RU,59.5833,151.2833,7.93,77,98,11.34,overcast clouds
170,Sept-Iles,CA,50.2001,-66.3821,-6.34,88,6,8.01,clear sky
171,Arraial Do Cabo,BR,-22.9661,-42.0278,75.06,94,0,0.0,clear sky
172,Batemans Bay,AU,-35.7167,150.1833,93.99,44,100,5.68,overcast clouds
173,Bredasdorp,ZA,-34.5322,20.0403,72.28,98,24,3.98,few clouds
174,Tonj,SS,7.2737,28.6822,70.41,24,46,4.79,scattered clouds
175,East London,ZA,-33.0153,27.9116,77.04,71,100,2.62,overcast clouds
176,Rassvet,RU,46.8333,40.75,33.19,100,51,10.07,broken clouds
177,Francisco Sa,BR,-16.4758,-43.4883,70.84,88,100,1.34,light rain
178,Bethel,US,41.3712,-73.414,20.68,68,0,0.0,clear sky
179,Naze,JP,28.3667,129.4833,56.53,56,68,6.44,broken clouds
180,Conceicao Do Araguaia,BR,-8.2578,-49.2647,72.97,95,99,1.12,overcast clouds
181,Gacko,BA,43.1672,18.5353,28.47,96,100,8.01,snow
182,Thunder Bay,CA,48.4001,-89.3168,32.56,84,100,1.99,overcast clouds
183,San Ramon De La Nueva Oran,AR,-23.1322,-64.326,78.42,74,100,4.54,overcast clouds
184,Upernavik,GL,72.7868,-56.1549,-20.67,99,99,6.22,overcast clouds
185,Megion,RU,61.0296,76.1136,0.01,97,100,6.69,overcast clouds
186,Ponferrada,ES,42.5466,-6.5962,41.11,59,4,2.28,clear sky
187,Grand Gaube,MU,-20.0064,57.6608,80.38,69,99,8.99,overcast clouds
188,Belene,BG,43.65,25.1167,37.24,57,100,4.16,overcast clouds
189,Saldanha,ZA,-33.0117,17.9442,65.95,91,7,8.59,clear sky
190,Polunochnoye,RU,60.8697,60.4153,-11.25,100,91,2.26,overcast clouds
191,Sursk,RU,53.0754,45.6846,31.01,87,100,16.87,overcast clouds
192,Conakry,GN,9.538,-13.6773,74.35,81,100,8.01,overcast clouds
193,Kodiak,US,57.79,-152.4072,35.11,87,100,8.05,light snow
194,Aktanysh,RU,55.7216,54.0829,29.25,84,100,16.04,overcast clouds
195,Amahai,ID,-3.3333,128.9167,88.41,58,97,13.42,overcast clouds
196,Nizhnevartovsk,RU,60.9344,76.5531,0.01,92,0,4.47,clear sky
197,Port-Gentil,GA,-0.7193,8.7815,80.49,77,93,6.85,light rain
198,Seddon,AU,-37.8068,144.8916,77.88,59,75,4.0,broken clouds
199,Skjervoy,NO,70.0311,20.9714,32.59,58,100,12.26,light snow
200,Marsala,IT,37.7966,12.4352,51.01,70,70,30.13,broken clouds
201,Sciacca,IT,37.5082,13.0881,51.1,76,77,25.17,broken clouds
202,Necochea,AR,-38.5473,-58.7368,55.04,52,15,12.75,few clouds
203,Erzin,TR,36.9559,36.2,43.32,79,86,4.5,overcast clouds
204,Hulan,CN,45.9833,126.6,3.87,87,33,5.48,scattered clouds
205,Haines Junction,CA,60.7522,-137.5108,-21.98,100,7,1.36,clear sky
206,Boden,SE,65.8252,21.6886,1.4,95,21,3.89,few clouds
207,Zaysan,KZ,47.4667,84.8667,2.71,93,100,0.85,overcast clouds
208,Edremit,TR,39.5961,27.0244,35.35,75,40,9.22,scattered clouds
209,Aasiaat,GL,68.7098,-52.8699,6.37,83,100,6.26,overcast clouds
210,Port Lincoln,AU,-34.7333,135.8667,65.71,58,45,21.9,scattered clouds
211,Zholymbet,KZ,51.7433,71.7122,10.94,92,100,12.3,overcast clouds
212,Lompoc,US,34.6391,-120.4579,60.42,85,0,4.61,clear sky
213,Waipawa,NZ,-41.4122,175.5153,74.03,55,94,8.08,overcast clouds
214,Fort Nelson,CA,58.8053,-122.7002,-11.6,98,100,1.61,overcast clouds
215,Popondetta,PG,-8.7537,148.2534,89.69,56,100,4.21,overcast clouds
216,Provideniya,RU,64.3833,-173.3,10.51,67,75,17.9,broken clouds
217,Christchurch,NZ,-43.5333,172.6333,69.94,75,40,3.0,scattered clouds
218,Dalvik,IS,65.9702,-18.5286,19.26,93,100,10.25,light snow
219,Inverell,AU,-29.7833,151.1167,92.66,45,65,8.01,broken clouds
220,Zhangye,CN,38.9342,100.4517,21.54,28,95,0.22,overcast clouds
221,Paamiut,GL,61.994,-49.6678,18.43,81,100,9.46,overcast clouds
222,Mar Del Plata,AR,-38.0023,-57.5575,63.88,61,9,1.01,clear sky
