City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
180,Bonavista,CA,29/01/2022 02:59,48.6499,-53.1147,30.11,77,81,17.22
181,Gimli,CA,29/01/2022 02:58,50.6336,-96.9907,5.43,85,100,6.91
182,Mabaruma,GY,29/01/2022 02:59,8.2,-59.7833,70.32,87,42,2.59
183,Cervo,ES,29/01/2022 02:59,43.6702,-7.4101,32.2,86,42,14.45
184,Fairbanks,US,29/01/2022 02:57,64.8378,-147.7164,1.4,60,0,0
185,Port Hardy,CA,29/01/2022 02:59,50.6996,-127.4199,46.76,81,100,4.61
186,Bardstown,US,29/01/2022 02:59,37.8092,-85.4669,22.14,84,75,10.36
187,Skala,PL,29/01/2022 02:59,50.2305,19.8536,30.06,81,20,12.66
188,Lorengau,PG,29/01/2022 02:59,-2.0226,147.2712,81.97,76,100,2.3
189,Havre-Saint-Pierre,CA,29/01/2022 02:59,50.2334,-63.5986,5.59,78,0,10.36
190,Mahebourg,MU,29/01/2022 02:55,-20.4081,57.7,79.25,94,40,1.14
191,Paamiut,GL,29/01/2022 02:59,61.994,-49.6678,21.97,88,100,24.7
192,Ribeira Grande,PT,29/01/2022 02:59,38.5167,-28.7,58.41,60,57,5.82
193,Nikolskoye,RU,29/01/2022 02:59,59.7035,30.7861,24.69,96,98,6.42
194,Lata,PT,29/01/2022 02:59,40.1629,-8.3327,45.05,57,0,5.23
195,Buritis,BR,29/01/2022 02:59,-15.6178,-46.4233,69.73,90,67,1.83
196,Khorramshahr,IR,29/01/2022 02:59,30.4397,48.1664,42.76,75,0,8.14
197,Sorland,NO,29/01/2022 02:59,67.667,12.6934,33.55,67,100,28.07
198,Jacareacanga,BR,29/01/2022 02:59,-6.2222,-57.7528,72.82,99,100,1.23
199,Ancud,CL,29/01/2022 02:59,-41.8697,-73.8203,60.33,84,0,3.71
200,Pangai,TO,29/01/2022 02:58,-19.8,-174.35,83.25,76,98,16.02
201,Laval,CA,29/01/2022 02:56,45.57,-73.692,1.31,60,0,12.66
202,Severnyy,RU,29/01/2022 02:59,50.677,36.5532,30.24,100,100,6.71
203,Soyo,AO,29/01/2022 02:59,-6.1349,12.3689,77.63,88,93,2.89
204,Ukiah,US,29/01/2022 02:59,39.1502,-123.2078,53.65,61,27,2.66
205,Iqaluit,CA,29/01/2022 02:56,63.7506,-68.5145,-18.67,69,75,11.5
206,Groningen,NL,29/01/2022 02:55,53.25,6.75,47.01,92,100,8.99
