City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
370,Isiro,CD,64.78,broken clouds,2.7739,27.616,Guest House Hewa Bora
371,Plettenberg Bay,ZA,73.53,overcast clouds,-34.0527,23.3716,Thanda Vista B&B
375,Wanning,CN,71.98,overcast clouds,18.8003,110.3967,Paradise Hotel
376,Mbeya,TZ,58.55,overcast clouds,-8.9,33.45,Leda Lodge
377,Bathsheba,BB,77.61,scattered clouds,13.2167,-59.5167,Atlantis Hotel
383,Mangrol,IN,69.17,clear sky,21.1167,70.1167,Hotel The Royal Honours
385,Duncan,US,59.38,overcast clouds,34.5023,-97.9578,Days Inn by Wyndham Duncan
387,Chaiyaphum,TH,83.93,scattered clouds,15.75,102.0,BBM Hotel
389,Tual,ID,83.7,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
390,Sri Aman,MY,87.85,few clouds,1.2376,111.4621,Seri Simanggang Hotel
391,Bandipur,NP,51.17,broken clouds,27.9333,84.4167,Bandipur Guest House
392,San Andres,CO,80.62,few clouds,12.5847,-81.7006,Hotel Arena Blanca
393,Sajanan,TN,52.07,overcast clouds,37.0573,9.2426,Centre de culture du tabac sejenene
396,Mildura,AU,83.07,broken clouds,-34.2,142.15,Mercure Hotel Mildura
397,Bilma,NE,50.94,clear sky,18.6853,12.9164,Expeditions Ténére voyages
398,Praia,CV,70.34,overcast clouds,14.9215,-23.5087,LT Aparthotel
400,Coihaique,CL,60.75,overcast clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
402,La Libertad,EC,74.97,overcast clouds,-2.2333,-80.9,Playa Canela Hotel Boutique
403,Ciudad Bolivar,VE,79.92,overcast clouds,8.1222,-63.5497,Hotel Edi
405,Port Macquarie,AU,87.89,clear sky,-31.4333,152.9167,Rydges Port Macquarie
406,Key West,US,66.2,clear sky,24.5557,-81.7826,Fairfield Inn & Suites by Marriott Key West
407,Maningrida,AU,83.23,moderate rain,-12.0667,134.2667,Dhukurrdji Lodge
409,Port Pirie,AU,78.75,broken clouds,-33.1833,138.0167,John Pirie Motor Inn
412,Nichinan,JP,55.08,overcast clouds,31.6,131.3667,Guest House Aki
413,Puerto Escondido,MX,81.43,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
415,Te Anau,NZ,76.46,moderate rain,-45.4167,167.7167,Kingsgate Hotel Te Anau
416,Vila Velha,BR,75.15,moderate rain,-20.3297,-40.2925,Hotel Vitória Palace
419,Teguise,ES,64.62,overcast clouds,29.0605,-13.564,B&B La Casona de Nazaret
420,Yellandu,IN,69.87,clear sky,17.6,80.3333,Chekuri Satyanarayana
421,Corn Island,NI,78.39,overcast clouds,12.1694,-83.0418,Big Fish Guest House
423,Savannah Bight,HN,72.0,clear sky,16.45,-85.85,Villa on Dunbar Rock
424,Camopi,GF,70.79,overcast clouds,3.1655,-52.3158,La pousada
425,Bequimao,BR,80.92,overcast clouds,-2.4489,-44.7825,Casa Dom Joaquim
427,Saint-Pierre,RE,80.24,broken clouds,-21.3393,55.4781,Lindsey Hôtel
429,Sinnamary,GF,75.87,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
432,Victoria,HK,57.33,overcast clouds,22.2855,114.1577,Mini Hotel Central
433,Malanje,AO,62.74,overcast clouds,-9.5402,16.341,Hotel Ginga
434,Alta Floresta,BR,70.54,overcast clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
435,Chimbote,PE,69.98,broken clouds,-9.0853,-78.5783,Hotel Briliá
436,San Jose,US,54.28,broken clouds,37.3394,-121.895,The Westin San Jose
437,Guerrero Negro,MX,60.93,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
440,Chicama,PE,64.94,scattered clouds,-7.8447,-79.1469,Balihai Bungalows
443,Kieta,PG,84.63,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
447,Auki,SB,85.48,broken clouds,-8.7676,160.7034,Auki Motel
453,Pimentel,PE,70.68,few clouds,-6.8367,-79.9342,Casona Del Muelle
454,San Rafael,AR,75.07,clear sky,-34.6177,-68.3301,Hotel San Rafael
456,Cayenne,GF,80.1,scattered clouds,4.9333,-52.3333,Hôtel Le Dronmi
457,Teacapan,MX,66.13,clear sky,22.55,-105.75,Hotel los Mangos
458,Kousseri,CM,59.77,clear sky,12.0769,15.0306,Le Pilotis
459,Kaohsiung,TW,73.35,broken clouds,22.6163,120.3133,御宿商旅-中山館
460,Catabola,AO,57.4,overcast clouds,-12.15,17.2833,Residencial Princesa
466,Chai Nat,TH,86.05,few clouds,15.1167,100.1,Thai Boxing ROSEINN RESORT
467,Manggar,ID,85.23,overcast clouds,-2.8833,108.2667,Guest Hotel
468,Bahadurganj,IN,62.42,clear sky,26.2667,87.8167,Nafis alam
469,La Palma,US,61.61,broken clouds,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
473,Conceicao Da Barra,BR,76.86,overcast clouds,-18.5933,-39.7322,Cricaré Praia Hotel
478,Bambous Virieux,MU,81.21,light rain,-20.3428,57.7575,Casa Tia Villa
479,Biltine,TD,55.71,clear sky,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
480,Komatipoort,ZA,72.05,few clouds,-25.4332,31.9548,Kruger View Backpackers
481,Luanda,AO,76.32,overcast clouds,-8.8368,13.2343,EPIC SANA Luanda
483,Lar,IN,57.69,clear sky,26.2039,83.9717,Ovaiskarni ward Lar
485,Tura,IN,62.51,broken clouds,25.5198,90.2201,Hotel RIKMAN Continental
486,Ukiah,US,55.13,clear sky,39.1502,-123.2078,Hampton Inn Ukiah
487,Amarante Do Maranhao,BR,70.47,scattered clouds,-5.5667,-46.7422,Hotéis Caçulinha
488,Jaguaribe,BR,76.91,few clouds,-5.8906,-38.6219,Hotel Pinheiro
490,Pitiquito,MX,61.38,broken clouds,30.7,-112.0833,La Víspera
492,Itarema,BR,78.44,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
495,Harper,LR,77.68,overcast clouds,4.375,-7.7169,Screensaver
496,Marawi,PH,79.56,broken clouds,7.9986,124.2928,Derogongan Residence
502,Banjarmasin,ID,86.14,broken clouds,-3.3244,114.591,Swiss-Belhotel Borneo Banjarmasin
503,Gat,IL,52.39,broken clouds,31.61,34.7642,OlusHome
506,Saint-Leu,RE,79.63,overcast clouds,-21.15,55.2833,La Caz Oceane
508,Montes Altos,BR,70.99,scattered clouds,-5.8333,-47.0667,Hotel e Restaurante Manaaim
510,Atar,MR,77.77,overcast clouds,20.5169,-13.0499,Oumou Elghoura
512,Abha,SA,51.62,clear sky,18.2164,42.5053,Abha Hotel
514,Isla Vista,US,56.82,mist,34.4133,-119.861,Best Western Plus South Coast Inn
516,Matara,LK,77.67,few clouds,5.9485,80.5353,Amaloh Boutique Resort
517,Tocopilla,CL,67.19,clear sky,-22.092,-70.1979,Hotel Galvarino
518,Kruisfontein,ZA,70.88,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
519,Rio Grande,BR,66.31,scattered clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
520,Mitsamiouli,KM,75.49,few clouds,-11.3847,43.2844,Foyer ADM
521,Wajir,KE,73.8,overcast clouds,1.7471,40.0573,Al-bustan Hotel And Restaurant.
522,Altamira,BR,72.61,overcast clouds,-3.2033,-52.2064,Requinte Hotel
529,Labuhan,ID,83.59,overcast clouds,-6.8844,112.2051,DoubleFAG
532,Canals,ES,54.72,clear sky,38.9625,-0.5844,Hostal Casa La Vuelta
